Afghanistan  阿富汗
Albania  阿尔巴尼亚
Algeria  阿尔及利亚
Andorra  安道尔
Ănggô  安哥拉
Anguilla  安圭拉
Antigua và Barbuda  安提瓜和巴布达
Argentina  阿根廷
Armenia  亚美尼亚
Úc  澳大利亚
Áo  奥地利
Azerbaijan  阿塞拜疆
Bahrain  巴林
Bangladesh  孟加拉国
Barbados  巴巴多斯
Bêlarut  白俄罗斯
Bỉ  比利时
Belize  伯利兹
Bénin  贝宁
Bermuda  百慕大群岛
Bhutan  不丹
Bôlivia  玻利维亚
Bosnia and Herzegovina  波黑
Botswana  博茨瓦纳
Đảo Bouvet  布维岛
Brazil  巴西
Quần đảo Virgin thuộc Anh  英属维尔京群岛
Brunei  文莱
Bulgaria  保加利亚
Burkina Faso  布基纳法索
Burundi  布隆迪
Campuchia  柬埔寨
Cameroon  喀麦隆
Canada  加拿大
Quần đảo Canaria  加那利群岛
Cape Verde  佛得角
Quần đảo Cayman  开曼群岛
Trung Phi  中非
Tchad  乍得
Chile  智利
Trung Quốc  中国
Đảo giáng sinh  圣诞岛
Quần đảo Cocos  科科斯基林群岛
Colombia  哥伦比亚
Dominica  多米尼克
Liên bang Bắc Mariana tự do  北马里亚纳自由联邦
Costa Rica  哥斯达黎加
Côte d'Ivoire 科特迪瓦
Croatia  克罗地亚
Cuba  古巴
Đảo Síp  塞浦路斯
Cộng hòa Séc  捷克
Bắc Triều Tiên  朝鲜
Đan Mạch  丹麦
Djibouti 吉布提
Đông Timor  东帝汶
Ecuador  厄瓜多尔
Ai Cập  埃及
El Salvador  萨尔瓦多
Equatorial Guinea  赤道几内亚
Eritrea  厄立特里亚
Estonia  爱沙尼亚
Ethiopia 埃塞俄比亚
Quần đảo Falkland 福克兰群岛马尔维纳斯
Phigi  斐济
Phần Lan  芬兰
Pháp  法国
Guyane thuộc Pháp  法属圭亚那
Polynesia thuộc Pháp  法属波利尼西亚
Vùng đất phía nam thuộc Pháp  法属南部领地
Gabon  加蓬
Georgia  格鲁吉亚
Đức  德国
Ghana  加纳
Gibraltar  直布罗陀
Hy Lạp  希腊
Greenland   格陵兰
Grenada  格林纳达
Guadeloupe  瓜德罗普岛
Guam  关岛
Guatemala  危地马拉
Guinea  几内亚
GuineaBissau  几内亚比绍
Guyana  圭亚那
Haiti  海地
Đảo Heard và quần đảo McDonald  赫德岛和麦克唐纳岛
Honduras  洪都拉斯
Hồng Kông 香港
Trung Quốc 中国
Hungary  匈牙利
Iceland  冰岛
Samoa  萨摩亚
Ấn Độ  印度
Indonesia  印度尼西亚
Iran  伊朗
Irac  伊拉克
Ailen  爱尔兰
Ixraen  以色列
Ý  意大利
Jamaica  牙买加
Nhật Bản  日本
Jordan  约旦
Kazakhstan  哈萨克斯坦
Kenya  肯尼亚
KIECHTENSTEIN  列支敦士登
Kiribati  基里巴斯
Côoét  科威特
Kyrghyzstan  吉尔吉斯斯坦
Lào  老挝
Latvia  拉脱维亚
Cộng hoà Liban 黎巴嫩
Vương quốc Lesotho 莱索托
Liberia 利比里亚
Libya 利比亚
Litva 立陶宛
Luxembourg  卢森堡
Ma Cao Trung Quốc 中国澳门
Macedonia  马其顿
Madagascar  马达加斯加
Madeira  马德拉群岛葡
Malawi  马拉维
Malaysia  马来西亚
Maldives  马尔代夫
Mali  马里
Malta  马耳他
Quần đảo Marshall  马绍尔群岛
Martinique  马提尼克岛
Mauritania  毛里塔尼亚
Maurice  毛里求斯
Mayotte  马约特
Mexico  墨西哥
Micronesia  密克罗尼西亚
Moldova  摩尔多瓦
Monaco  摩纳哥
Mông Cổ  蒙古国
Montenegro  黑山
Montserrat  蒙特赛拉特岛
Marốc  摩洛哥
Mozambique  莫桑比克
Myanmar  缅甸
