hư hại	破坏
Lan tràn	散佈
trả	繳
đường vòng	繞道
Vui lòng	開朗
người hầu	僕人
củ hẹ	葱
nhiều lần	屢
Công giáo	公教
đọc thuộc lòng	誦
Orle	俄勒
đáp ứng	符合
Lúc đầu	初時
Chim	鍷
gói dữ liệu	数据包
Tây An	轇
Toàn quốc	全国
Nội trú	上車
Duyệt qua	瀏
cái	一塊
Rời khỏi	離場
Chuyển ngữ	转写
thảm họa thiên nhiên	自然灾害
cơ thể và lí trí	身心
Tokyo	東京
Cũng có	亦曾
đột ngột	突然
kịch	戏曲
Trao giải thưởng	得獎
kính	眼镜
Âm	寅
sự miêu tả	描述
Ca hát	演唱
lông nhím	翮
Xấu hổ	臁
May chăn	絎
cánh cửa tiếp theo	隔壁
sự trừng phạt	刑
Di cảo tên	谥号
Nhân đạo	人道主义
máy hút bụi	真空
Trung bình	中等
tổng hợp	合成
nguyên	原
hối lộ	受贿
vận chuyển	運輸
hiệu trưởng	负责人
Shao	糹
Được tha	幸免
em gái	姐
nhiệm vụ	責任
Tử đạo	鉮
tự động	自動
Bất tận	不盡
Ghi chú	牋
Cao đẳng	大專
Minas	米纳斯
Cười thầm	櫖
tiêu cực	否定
Đỉnh đầu	頭頂
người phiên dịch	编译器
Muhammad	穆罕默德
Bắt chước	髣
chứng cớ	证据
Tsai Ing-wen	蔡英文
Sóng thần	海啸
Rady	拉迪
phòng	室
Thuộc da	丹拿
tắt	饐
Trung Quốc	華
Lớp phủ	叠加
Ashikaga	足利
Tương hỗ	互有
Tháng sáu	君
bản địa hóa	本土化
Làm tan biến	溶于
Nhiệm vụ	職責
Hộ gia đình	戶
đĩa	盤
hiệu trưởng	校长
rửa sạch	涮
Sao Đỏ	红星
Cấp dưới	手下
Máy khoan	釬
cá xanh	鯥
thức tỉnh	憬
điều này	這本
Rutte	鲁特
trắng	白
Lian Yun	连云
Số chuyến bay	號班機
Sid	希德
Đề cập	提到
lá thư	書信
Chanh	檸
Phụ thuộc vào	视
bài viết này	本文
Xe trượt tuyết	橇
gần đây	就近
Âm	埴
Vỏ não	皮质
Nhân vật chính trị	政治人物
Cho nhiệt đới	為熱帶
Học bổng	學獎
riêng	特定
Zhu	翯
Yu	鋑
cây phỉ	榛
Công tước	公爵
ngạc nhiên	訝
Lưu trữ	封存
Một số	幾位
Đúng đắn	為義
thợ rèn	史密
lịch	厤
skiff	艭
Guotao	国焘
Minjiang	岷江
đường cong	曲线
lãnh chúa	督军
A	耈
Academia	学界
Johanne	约翰内
Xấu hổ	湔
ruthenium	钌
Chiếm lấy	攻佔
dư luận	輿論
xoay	斡
bàn	桌
Anh chị em	同胞
Quận Triều Dương	朝阳区
Văn phòng	办公
chính khách	政治家
Tiểu sử của	的傳
Oxime	肟
Liên hoan phim	电影节
bác sĩ triết học	哲學博士
sự miêu tả	描寫
Liên kết	债券
Người lái xe	駕駛員
Xem	詳見
Ying	瑩
trỗi dậy	攀升
Đường sắt Kowloon-Canton	九廣鐵路
Khổ sở	洈
sự hối tiếc	遺憾
Toàn nước Mỹ	全美
tối	黯
Chu	铚
trường học	在校
Đánh	撞击
dịp	场合
Cúp vô địch	冠军杯
