Lụa	絹
Kiêu ngạo	戕
tốt	良好
Ga ga	站站
Tianfu	天府
Quân đội thứ tư mới	新四军
Thiên tân	天津
Thuật sĩ	覡
Yi	奕
súng trường	步枪
Wehrmacht	國防軍
Chánh văn phòng	參謀長
một nửa	半
Nước bùn	濁水
Lừa dối	棃
Gò	砣
Tây An	嫺
Cảnh sát	警察
Ye	謁
Thầy tu	牧師
Chao	菵
sương giá	霜
Bức vẽ	塗裝
Giới thiệu	介紹
bạo loạn	暴乱
người mẹ đã khuất	妣
Sát thủ	殺手
Nam triều	南朝
Siêu hình học	形而
cây sào	極
Trong	處於
Dài	長時間
Dedi	德帝
chim cun cút	鹌
Lễ kỷ niệm trường	校庆
cấp dưới	下屬
đổi	兌換
Thali	塔利
titan	钛
Tổng giám đốc	总经理
JPY	日元
Yi	犿
mồ côi	孤儿
Xoắn	扭转
tuổi tác	年齡
Kawasaki	川崎
không gian	空間
Thượng Thư	尚書
Sản xuất hàng loạt	量產
Thua	喪失
Cũng muốn	亦要
loài	這類
Nền tảng	式月台
Nam và nữ	雌雄
Ứng dụng	申请
Quần đảo	群岛
Tong Jian	通鑑
to quá	過大
Bang	憘
Warren	華倫
Niak	尼亚克
Hurst	赫斯特
vách đá	崿
Hai lớp	兩層
Trung thổ	中土
Sinh tại	出身於
Dioxit	二氧化
Ban cho	赐予
tập trung	浓缩
Thiến	閹
Gongqing	共青
Nai	枖
Thanh Đảo	青岛
Zetian	則天
Riêng tôi	本人
Tứ kết	八強
Thụy Điển	瑞典
tổ	窝
Hệ số	因數
Gula	古拉
người hầu	僕
bass	噌
và ngay cả	乃至
Dongjin	東晉
cổng thiên đường	閶
yên tĩnh và tốt đẹp	姽
Cánh tay	腋
sức mạnh	轴线
hấp	煨
Tán thành	核定
liên kết	縲
kế tiếp	翌
Diene	二烯
Tuỷ	砈
Đáp lại	回信
kháng thể	抗体
Đông đúc	排擠
thất vọng	挫折
Dai	黛
lau	揩
Chia thành	分為
Miễn phí	免
Puja	法會
chuyên gia	研究員
kẻ thù	敌军
Kết xuất	渲染
Arsenal	阿仙奴
cắt ra	剜
Người	事者
Assad	阿萨德
Không cố ý	无意
Âm	颿
Jurchen	女真
ổn định	穩
Đã trở thành	經成為
Xu	仙
Sai	誣
Không con	無子
Chuyển giao	转入
Buzzer	鷟
Vị trí thứ ba	季军
Ngốc nghếch	枲
Erde	爾德
Shao	笭
Yama	亞馬
Dương	邿
Tự nhiên	本土
Bồn tắm	巴斯
Tỉnh Quý Châu	貴州
Thuyết giáo	传道
Kren	克人
Tình yêu mới	爱新
con ong	蜂
Cá hồi	鮭魚
Giá bán	物价
nhận biết	察覺
cabin	舱
Yun	蕴
Phân loại	歸類
gồ ghề	嶇
Adze	錛
chuyển khoản	抽调
Gầu múc	筲
cá	渔
Vết ố	渍
Thua	落敗
Cánh đồng	菲尔德
động vật có vú	哺乳動物
Google	谷歌
Sviato	斯维亚托
Danh lam thắng cảnh	景點
Khói	煙
Hiện tại	現過
tiếng nói	嗓
Chính thức	官员
Hydrat hóa	水合
Anh trai răng	牙哥
kỹ năng	技巧
Jing Gong	景公
tỷ lệ thất nghiệp	失业率
Đảng viên dân chủ	民主派
Dinburgh	丁堡
hình trụ	汽缸
di chuyển	搬家
Sau giờ làm việc	務後
ồn ào	嘈
Wow	倗
sự khác biệt	微分
Trước và sau	前后
Và tôi	安地
Trino	微子
Enthalpy	焓
Cử đi	遣
điện thoại	电话
