Túp lều	庐
Công chiếu	首播
Stuttgart	斯图加特
Metanol	甲醇
Vân Nam	云南
con chuồn chuồn	蜻
Cắt	掆
Đặc biệt	特派
Aisha	愛沙
Điều hành	經營
El	埃尔
Trường học	該學
Coronal	冠状
khuyên can	勸阻
nhiều hơn	多於
Vĩnh Châu	永州
Chúng sinh	眾生
Houston	休斯顿
sứ mệnh	使命
nửa trên	上半
Măng	筍
Cà kheo	錋
Wu Guo	吳國
Đưa vào sản xuất	投产
Xấu hổ	祋
Bực mình	忼
Hamamatsu	濱松
Dài	臾
Tính cách	品格
tận thế	天启
Doss	多斯
ngã trở lại	倒退
Ánh sao	星光
sự giải trí	娛樂
Quốc tịch Hán	漢族
tháng	月份
Hệ thống trường học	學制
Đầm	达姆
con rối	傀儡
Phép tính	运算
Năm và	年與
Một ngày nào đó	某天
Dàn nhạc	乐团
huy hiệu	徽章
Khuôn mặt	面部
Cấp độ đầu tiên	一级
tia laze	激光
Geelong	吉隆
Máy số	號機
yên tĩnh và thanh lịch	窕
sao chổi	彗星
Thầy tu	司鐸
Theo	跟著
có	具备
Hấp	腄
Sanli	三立
Dan	鄲
nitơ	氮
Lợi thế địa lý	地利
Người lái xe	驾驶员
Li	灕
tà ác	邪恶
Học	求学
Yi	斿
Út	幼子
Điên	諄
Apollo	阿波罗
Các ngôi sao	顆星
Dingzhe	定讞
Yun	駃
kẻ phản bội	叛徒
Nam Cực	南极
Xóa đơn hàng	明令
hình phạt	罰球
Qishan	岐山
Thống đốc	布政
bọng đái	膀
Lubin	律賓
Ra mắt	亮相
Kang	康
Arashi	岚
hấp dẫn	有趣
Lịch sử	年史
Hae	獬
Gà lôi	鷴
Chung	将軍
Zurich	蘇黎
thực đơn	菜单
Khói	烟雾
đọc thuộc lòng	诵
khí ga	氣
hồi sinh	复活
hàng tuần	周刊
YoY	同比
Gói phần mềm	软件包
Chưa từng có	空前
giữ nhanh	堅守
Băng qua	渡
Lara	拉拉
Giá trị là	值為
Một phe	一派
Đường sông	河道
thực hiện	執行
giao diện	介面
Thoái hóa	退化
nguyên	原作
Quân đội sẵn sàng	願軍
viết	著述
chỗ trống	空白
vây ngực	胸鰭
Tang	枼
chất bẩn	濊
Người Venice	委內
Zengcheng	增城
Tổng diện tích	总面积
Đường sắt cao tốc	高铁
thành thạo	精通
Nhảy vọt	闰
Sẽ	維爾
Vie	维耶
Triều đại mới	新朝
chuyên dụng	專用
có thật không	實在
Thành thị và nông thôn	城鄉
Sáng	鲜明
Người xem	观者
thông thoáng	晴
Tu sĩ dòng Tên	耶稣会
nghị viện	議會
Bắt	抓到
Hideyoshi	秀吉
Nhắc lại	催
Qi	乁
bắn pháo hoa	煙花
chơi	戯
Tên	指名
Biến cố	事发
hình trụ	气缸
Đến	到
Người kế vị	后继
Điểm sôi	沸点
bắt nguồn từ	源自於
Thị trưởng	迈尔
Leman	莱蒙
triển khai	部署
Sức khỏe	衛生
Đô đốc	上将
cầu	桥梁
đại học Cambridge	剑桥大学
thai nhi	胎儿
Đường may	縫
Lu	銙
Kính trọng	推崇
Quận Nam	南縣
Quán tính	聲勢
Nhà lý thuyết	理论家
bên ngoài	外
Disraeli	迪斯雷利
Hạt Ning	寧縣
Lợi thế	優勢
Kot	科特
Heller	赫勒
Valen	瓦伦
món thịt	肴
Quan chức	僚
ôi thiu	馊
Pháp luật	法上
cái gối	枕
Wu	吳
Actinium	锕
nơi ở	下落
Hơn hai	過兩
Giành được	荣获
Cứu tinh	救世主
sao băng	流星
Texas	德克萨斯
Ngôi mộ cổ	古墓
Số Pi	逈
Chiến tranh giữa các vì sao	星際大戰
Giữ bí mật	保密
bàn thờ	罎
Hình nón	锥形
Trận chiến	战役
Án Lệnh	谕
Hai mươi	廿
sắp xếp	排列
Bộ giáo dục	教育局
Và phía Tây	與西
tuyệt đối	绝对
Lúc bắt đầu	当初
Tiếp xúc	來往
lính	軍人
điều khiển	統制
Liaoxi	辽西
Can đảm	勇
Bởi	所著
Miha	米哈
con bò cạp	鉲
Bắc Ireland	北爱尔兰
vận chuyển nhẹ	轺
Tường thuật	叙述
bàn là	铁
chàng	佬
năm	岁月
món thịt	餚
Junggar	准噶尔
Cướp biển	鷨
đồ chơi	玩具
Sự cứu rỗi	救贖
Chấp nhận	接纳
Đầu hàng	臣服
phía tây	西邻
Desuke	德輔
Claas	克拉斯
lưu huỳnh	硫磺
ký tên	签署
Trường y tế	醫學院
Đánh đập	捸
Dang	碭
Shao	皞
Ngõ	小巷
Khen ngợi	赞扬
Di sản	沿袭
Ăn được	可食用
riêng tư	私有
Lớp học	上課
Bão nhiệt đới nghiêm trọng	強烈熱帶風暴
chính xác	恰好
bảo đảm	确保
Macedonia	马其顿
Lausanne	洛桑
Japonica	粳
em gái	姐姐
lấp đầy	闐
số không	零
Tàu	航艦
Ủy ban Trung ương Đảng Cộng sản Trung Quốc	中共中央
Ngũ giác	五角
Xu hướng	主流
Chỉ	俹
tiếng cười lớn	噱
giết chết	杀害
Xin	歆
Có lông	褞
Đường đó	那樣
Vào thành phố	入城
Lorida	羅里達
nâu	棕
Huân	鄗
cây bụi	灌木
Quân đội	軍部
Dương tử	长江
Đảng dân chủ	民主黨
golf	高爾夫球
Cuộc tranh cãi	訌
boron	硼
Tan chảy	溶
Anhe	安和
phi	拋
Bướng bỉnh	窋
Xin lỗi	致歉
Khi đến thăm	訪問時
Sự hỗn loạn	沌
Người theo dõi	隨者
Nanzhao	南诏
Chu	栆
quyền lực	冪
Solomon	所羅門
Tám tám	八八
lưỡi liềm	鐮刀
Blanc	勃朗
chia sẻ	共享
Đường núi	山道
Tên đã dịch	译名
Chia	分之
David	大卫
Xinze	新泽
Gram	尅
Va cho	併為
Hồi ký	憶錄
tập thể dục	演習
chổi	笤
ngoại quốc	外來
Hoạt động	运作
muộn	晚
Trong tro choi	賽中
Học viện khoa học	科院
Jinsui	晋绥
Vũ	武夷
vu khống	誹
Bộ sưu tập sách	藏書
Chết	辭世
Vermont	佛蒙特州
bản hòa tấu	协奏曲
Tốc độ chung	普速
Zan	昝
Tuyệt chủng	絕種
bầu không khí nặng nề	氲
kế toán	會計
Đài truyền hình Châu Á	亞洲電視
tiền tệ	貨幣
Sui	睃
kiệt sức	惫
Pseudo	伪
Với Zhang	與張
nhẹ	溫和
Zheng Xiuwen	鄭秀文
Sẽ đi đến	會向
Fudan	复旦
Bạn	伱
phi cơ	飛機
Cây bách	栢
Jida	積達
Trại giam	看守所
ích kỷ	自私
kết nối	聯絡
mạnh	濃厚
Di dời	迁居
chim	鸟
dải Ngân Hà	银河系
thuê	租
trạm không gian	空间站
Bảng	登
Gốc	出身
nhóm	团
Đàn áp	鎮壓
Tấn công và phòng thủ	攻防
Đường Sơn	唐山市
Biểu tượng	符号
Can đảm	勇者
Tennessee	田纳西州
cốt lõi	芯
Kỳ nghỉ	度假
Nán lại	萦
Shau ​​Kei	筲箕
Kỉ niệm	憶體
cùng với	隨着
quan niệm nghệ thuật	意境
Shino	筱
Ly thân	分居
điều hành	操作
rồng Vàng	金龙
Khu kinh doanh	商圈
tiếp xúc	联系
sự tập trung	濃度
MacLehose	麥理浩
Thấy trước	預
Ngớ ngẩn	俽
Lụa	綃
Nhảy	踿
UV	紫外
sống động	生動
Bốn điểm	四分
động từ	动词
Trực tiếp điều hành bởi	直轄
hài lòng	宜人
má	颊
Hỗ trợ	輔助
Wei	葳
Sự phục hồi	复辟
Được xây dựng trong	內設
Cây bụi	灌丛
Hu	溒
tên khoa học	学名
Âu Á	歐亞
Brunei	文莱
Baltimore	巴爾的摩
Xây dựng	構築
Carl	卡爾
Moses	摩西
Đạo diễn phim	電影導演
Zi	淄
ngọn lửa	燄
mẹ	母
làm mẫu	造型
Naphthalene	萘
ngấu nghiến	吞食
Chủ tịch	理事长
Yêu thích	收藏
mộc mạc	鄙
thủy triều thấp	低潮
Sa	飒
Benji	本纪
Hạt Kim Môn	金門縣
Qian	騫
một lát sau	后来
lưỡi	刃
hệ thống	體系
Tiết tấu	打比
Lối ra	出口
lừa	伎
Oxford	牛津
Biên dịch	編纂
nhập khẩu	进口
bình nghi lễ	豋
gấp rút	傯
Seychelles	塞舌
Kelly	凱莉
Leo	匐
Châu Á	亚裔
các cửa sổ	視窗
Tai ngựa	马耳
Công	建功
Eo biển	海峡
Vị trí bình đẳng	等位
Âm	訿
khu bảo tồn	保護區
Chặt đầu	斩首
Cung điện Hoàng gia	皇宫
Người kế vị	後繼
Huizong	徽宗
Trường sơn	常山
Saku	佐久
E	犲
làng	莊
Cen	岑
Dân du mục	游牧
viền bếp	陉
HP	惠普
trường học	学校
Trẻ mới biết đi	幼兒
Lực kéo	牽引
ở lại	留
Kuniko	國子
Quan	鎙
vết nứt	裂痕
Cực	極地
lạnh	凜
Phố Đông	浦东
Chủ nghĩa hợp hiến	憲政
Alps	阿尔卑斯
Merlot	梅洛
Locke	洛克
Nhập ngũ	從軍
Điều khoản	條文
tiêu đề	銜
đan lông mày	顰
bài hát dân gian	民歌
Thiết bị điện	电器
Anda	安达
Ka	迦
quan tài	榇
Từ đây	從這
tàn tật	痡
Mao Trạch Đông	毛澤東
đầy	满
Nguyên tắc	准则
hướng dẫn	指南
Georgia	格魯吉亞
Hay không	或非
hậu quả	反响
Sar	萨尔
Ngớ ngẩn	谹
Số tiền	数额
Cyperus	莎草
Uy tín	聲名
Bren	布伦
tấm ảnh	摄
meson	介子
Điều khoản khác	雜
Chống tàu ngầm	反潛
Sáp nhập với	並於
Hiện tại	在場
Trộn vào	混入
cái rổ	簏
Đối với công đoàn	為聯
nghìn	千
Xi	挙
hình thức	表格
Thành phố	市立
chất lượng	質
cá thu	鮐
