Thành phố	市町村
Fray	弗赖
Thuê	僦
Những con gà	雞
vanadium	釩
chất rắn	固体
Renault	雷诺
cảm thấy	覺
tốt	嫽
nhìn thoáng qua	睒
Titan	泰坦
Tấn	浔
Shui	涫
Ba màu	三色
bánh mỳ	面包
kỷ	世紀
Bis	比斯
phần phía sau	豢
cua	蟹
quân đoàn	兵团
xuất hiện	出現
Sihe	四合
Lỗi	断层
Nên	應該
Yao	瑤
Cuba	古巴
đào sâu	加深
Tham dự	参赛
Afghanistan	阿富汗
Li	椬
phi	丟
đa phương tiện	多媒体
thực tế	實際
Thung lũng	溪谷
Manchukuo	滿洲國
khác thường	異常
lừa dối	朦
túi	兜
Sông Ấn	印度河
mười	十
Trung Hoa Dân quốc sớm	民初
Lưỡi liềm	銍
Xuất hiện ban đầu	原貌
Ma Kết	羯
Adelaide	阿德莱德
Vương triều Habsburg	哈布斯堡王朝
Miles	哩
Mặt bích	法兰
nỏ	弩
Miếng	枚
nói	讲
Thành phố bị cấm	故宮
Điểm cao	高點
Vài	为数不多
Học viện khoa học	科學院
Thanh tra	督察
Phát triển quốc gia	國開
Yoshito	義與
giao diện	界面
ma thuật	魔法
Kinh kịch Quảng Đông	粵劇
Mọi người	人们
con cú	鸺
vận chuyển nhẹ	輶
thị trấn	城镇
Dạy	敎
cồng	鑼
Sẽ	就會
Shao	枹
Khuyến khích	励
đứa trẻ	小孩子
phong cảnh	風景
chính quyền	政府
phong cảnh	风景
Kun	锟
Trong cốc	杯中
lượng mưa	雨量
Katakana	片假名
gây chết người	致死
Qi	屧
lịch	曆
biểu bì	表皮
Giáo viên	師長
Trong đôi mắt	眼中
Nit	尼特
Hee	煕
Đảo và	島及
cũ	旧
quá	过于
Đại học	本科
Fleur	夫勒
Trẻ	年幼
Cá xuyên tâm	輻鰭魚綱
Trung Quốc	中國
Viết	撰文
Yên tĩnh	硨
cá ngừ	鮪
Clan	族
Quận He	河县
Cá non	幼魚
Hợp lý	逻辑
Khu vực phía Tây	西域
gánh nặng	負擔
Bọng đái	賔
Đính kèm	附
mộc qua	桲
cơ bắp	肌
gãy xương	骨折
Bác sĩ	大夫
Vòng đầu tiên	首輪
Âm	虦
Ngốc nghếch	臈
Chengdu	成都
Thống nhất	合一
nhân nhượng	安撫
Với Wu	與吳
Thành phố bị cấm	紫禁城
Người chơi	球員
Chia sẻ	股份
đình công	罢工
Giải quyết	求解
Thuế	税
Chế độ nô lệ	奴役
giảm bớt	還原
Vứt bỏ	處置
bể bơi	水池
chuyên gia tư vấn	顧問
Địa điểm	处
Trong không khí	空中
Khu vực vịnh	灣區
Thiêu	焚烧
gớm ghiếc	猙
Đối với người Anh	為英
Su	夙
Fenghua	奉化
Ye	晿
đất đai	陆地
Câu lạc bộ ngựa	馬會
điều khiển	统制
City God Temple	城隍庙
nấm	蘑菇
giờ	小时
Thiên nhiên	天性
Sa thải	裁者
Đứa trẻ	小子
mặt trời	蓀
Đến	要將
Rong	嶸
Shiba	芝
Điều	事情
đồi núi	希爾
nhấn	按察使
Americium	镅
thật	確實
Không vui	怤
trái cam	橘子
vua rồng	龙王
Ford	福德
Hubble	哈伯
em gái	姊姊
đừng	別
Tongan	同安
Jin	衿
Wa	漥
chi phí	支出
hiện hành	當前
khoa học	科學
Giờ sinh	生时
sinh đôi	双胞胎
Cây kê	黍
Đúng	右侧
Hoàng đế La mã	罗马皇帝
dạy	传授
bệnh sốt rét	瘧
Qi	騏
viết	书写
có thể	五月
Thường được sử dụng	常用
trường học	學校
Bướng bỉnh	碸
cho đến khi	直到
Quyền lực	次方
Tát	肈
Tốt nghiệp từ	畢業於
khảo cổ học	考古学
Nâng cao	進發
Borg	博格
Liuyang	浏阳
Quận là	區為
Hua Dan	花旦
Hu	睺
sân cỏ	音高
Yi	佾
Gió nhiệt đới	熱帶風
Quận Giang	江县
giải trí	暇
lực lượng	强行
Bắc Băng Dương	北冰洋
Con số	號則
Bị kích thích	兴奋
toán học	数学
Bài giảng	布道
Quốc gia	國第
Tê liệt	痪
bộ lọc	过滤
tốt	佳
trong	于
Daohui	道會
toàn bộ	合计
Thổi	吹襲
xoáy	渦
Hoa serrano	花鮨
đi bộ	行走
Theo giai đoạn	上演
cây sồi	栎
Lo Wu	羅湖
mê cung	迷宮
Giang Tô	江蘇
Bộ điều khiển	控制器
Và xinh đẹp	與美
Phenyl	苯基
Tình dục và	性與
xe lăn	輪椅
Bất khả chiến bại	无敌
Đối với Châu Âu	為歐
khuôn mặt	臉
Chi tiết	詳情
Ming	漺
bàn luận	讨
Vạch phổ	譜線
Xi	浃
Duyên dáng	媚
Yate	亚特
Nhà giáo dục	教育家
Liền kề	毗鄰
rên rỉ đau đớn	痌
Tainan	台南
Âm	繦
Wei	崳
Chính phủ quân sự	軍政府
Ứng dụng	申請
Chengyu	成渝
tiếp xúc	聯繫
Tần	靲
Daniel	丹尼爾
ướt	湿
Xác suất	機率
gali	鎵
độ cao	標高
từ điển	词典
khu vực	面積
đãi	對待
rượu	釀
Bỏ lỡ	无缘
Phía trong	館內
cánh diều	鸢
về nhì	亚军
xung quanh	圍繞
tên thật	真名
Cành cây	茻
Sioux	蘇省
Phiên họp	屆
Liu Biao	劉表
tổ chức	主辦
chuyên gia	專家
Sư đoàn	個師
Kazakhstan	哈萨克斯坦
Người giữ	持有人
Akane	蒨
Khấu trừ	演绎
Dwight	德怀
Ảnh hưởng	影響力
Xiao	蓭
đất đá	磽
khóa	鎖定
Điều khiển	行車
Trung Quốc ở nước ngoài	華僑
Zhao	釗
Jining	济宁
bỏ tù	下獄
từ ngữ	話
thức ăn nhanh	快餐
Tang Yingnian	唐英年
đơn giản	简单
Động kinh	癲
đại sảnh	大廳
Bán kết	準決賽
Hảo	颢
Tấn công bằng phi cơ	空袭
Tỉnh Liêu Ninh	辽宁省
Thẳng thừng	直言
trơn tru	暢
Gai cứng của vây lưng	背鰭硬棘
Nader	納德
Thị trấn Vịnh	湾镇
Đây	蒞
trận chiến	堞
Hàng ngàn	上万
một cách tạm thời	暫
tay trống	鼓手
Bao che	占地
Sân chơi	娛樂場
ứng dụng	敷
Thay thế	取而代
bạc	白银
Florida	佛州
Gậy hockey	曲棍
Phòng ban	部门
Đàn bà	媦
Tuân thủ	遵从
lái xe	驱
đánh	擊
hiệp ước	条约
Phòng kỹ thuật	工程局
Tòa nhà mới	新馆
đến	来到
Mai táng	下葬
Trung tướng	中將
Chu State	楚國
đô thị	大都会
Khuyến khích	提升
ngôi đền	庙宇
nỗi sợ	惧
Của hai	的兩
Chung kết cúp	盃決賽
Calcutta	加尔各答
thanh lịch	優雅
Diễn viên đóng thế	女配角
túi treo từ thắt lưng	褳
Giọng nói của	之音
đầu hàng	投降
Yi	泿
Conscript	徵召
Hobbit	哈比人
trơn tru	平稳
Barcelo	巴塞罗
Khai mạc	开幕
người Tây Ban Nha	西班牙语
xôn xao	蟠
Chiến tranh	战乱
Ý nghĩa	含意
Nhà máy sắt	铁厂
Shan	硜
Thủ tướng	总理
nhớ bạn	想
Seattle	西雅图
làm	辦
Nấu ăn	庫克
Mát mẻ	爽
Con gái	女童
Gửi	發時
săn bắt	揵
Ôn Công	文公
Tài liệu	文档
Chỉ huy	统领
Hãy xem	看看
Wow	嘩
trước	之前
kết thúc	结局
Zhang Ge	張個
Tình dục	發性
giáo viên	教师
Lo	囖
Ở Trung Quốc	中國內
Rắn độc	蝮
cái	棋子
một mình	獨自
Đá phạt	点球
mô phỏng	模拟
Tiêu điểm	專注
xẻng	剷
Xi	郗
Kết án	判处
Cuộn	辊
Lên	暸
ẩn giấu	隱藏
Vượt qua	通牒
Trung thành	教友
Gongsun	公孙
Enhe	恩河
Phì nhiêu	肥沃
Brunei	汶萊
Khó xử	踔
Armenia	亞美尼亞
Tỉnh Lô	洛特省
Có thể	能將
Nelson	納爾遜
giàu có	富
Sự công bình	义上
Yu	聿
Hộ khẩu thường trú	常住
Gan	灨
dán	貼
Ốc sên	蜗
bộ lọc	篩選
sự hoang mang	混乱
Hydrazone	腙
Thượng hải	上海市
Và	並對
khởi động	啟動
Fermi	费米
Det	底特
Thêm vào	添加
Võ thuật	武功
Juan	襈
Kiểm tra thị trấn	乡试
Tang	腲
chất nhờn	漦
chất rắn	固
Mùa giải đầu tiên	首季
thay đổi	改變
Yong	顒
Tấn	荙
Cổng vòm	牌坊
Xiulian	秀蓮
